"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Pertussis","All cases","Reported cases","N","1999","EU_EEA31","EU/EEA",16648.000000000,""
"Pertussis","All cases","Reported cases","N","1999","FR","France",195.000000000,""
"Pertussis","All cases","Reported cases","N","1999","IE","Ireland",179.000000000,""
"Pertussis","All cases","Reported cases","N","1999","IS","Iceland",22.000000000,""
"Pertussis","All cases","Reported cases","N","1999","IT","Italy",3798.000000000,""
"Pertussis","All cases","Reported cases","N","1999","LT","Lithuania",80.000000000,""
"Pertussis","All cases","Reported cases","N","1999","MT","Malta",60.000000000,""
"Pertussis","All cases","Reported cases","N","1999","NL","Netherlands",6988.000000000,""
"Pertussis","All cases","Reported cases","N","1999","NO","Norway",1241.000000000,""
"Pertussis","All cases","Reported cases","N","1999","PT","Portugal",12.000000000,""
"Pertussis","All cases","Reported cases","N","1999","SE","Sweden",2425.000000000,""
"Pertussis","All cases","Reported cases","N","1999","UK","United Kingdom",342.000000000,""
"Pertussis","All cases","Reported cases","N","1999-01","AT","Austria",-,""
"Pertussis","All cases","Reported cases","N","1999-01","DK","Denmark",24.000000000,""
"Pertussis","All cases","Reported cases","N","1999-01","EL","Greece",3.000000000,""
"Pertussis","All cases","Reported cases","N","1999-01","ES","Spain",10.000000000,""
"Pertussis","All cases","Reported cases","N","1999-01","EU_EEA31","EU/EEA",660.000000000,""
"Pertussis","All cases","Reported cases","N","1999-01","FR","France",6.000000000,""
"Pertussis","All cases","Reported cases","N","1999-01","IE","Ireland",8.000000000,""
"Pertussis","All cases","Reported cases","N","1999-01","IS","Iceland",2.000000000,""
"Pertussis","All cases","Reported cases","N","1999-01","IT","Italy",327.000000000,""
"Pertussis","All cases","Reported cases","N","1999-01","LT","Lithuania",-,""
"Pertussis","All cases","Reported cases","N","1999-01","MT","Malta",-,""
"Pertussis","All cases","Reported cases","N","1999-01","NL","Netherlands",-,""
"Pertussis","All cases","Reported cases","N","1999-01","NO","Norway",131.000000000,""
"Pertussis","All cases","Reported cases","N","1999-01","PT","Portugal",0.000000000,""
"Pertussis","All cases","Reported cases","N","1999-01","SE","Sweden",125.000000000,""
"Pertussis","All cases","Reported cases","N","1999-01","UK","United Kingdom",24.000000000,""
"Pertussis","All cases","Reported cases","N","1999-02","AT","Austria",-,""
"Pertussis","All cases","Reported cases","N","1999-02","DK","Denmark",25.000000000,""
"Pertussis","All cases","Reported cases","N","1999-02","EL","Greece",2.000000000,""
"Pertussis","All cases","Reported cases","N","1999-02","ES","Spain",2.000000000,""
"Pertussis","All cases","Reported cases","N","1999-02","EU_EEA31","EU/EEA",554.000000000,""
"Pertussis","All cases","Reported cases","N","1999-02","FR","France",10.000000000,""
"Pertussis","All cases","Reported cases","N","1999-02","IE","Ireland",4.000000000,""
"Pertussis","All cases","Reported cases","N","1999-02","IS","Iceland",2.000000000,""
"Pertussis","All cases","Reported cases","N","1999-02","IT","Italy",288.000000000,""
"Pertussis","All cases","Reported cases","N","1999-02","LT","Lithuania",-,""
"Pertussis","All cases","Reported cases","N","1999-02","MT","Malta",1.000000000,""
"Pertussis","All cases","Reported cases","N","1999-02","NL","Netherlands",-,""
"Pertussis","All cases","Reported cases","N","1999-02","NO","Norway",85.000000000,""
"Pertussis","All cases","Reported cases","N","1999-02","PT","Portugal",0.000000000,""
"Pertussis","All cases","Reported cases","N","1999-02","SE","Sweden",110.000000000,""
"Pertussis","All cases","Reported cases","N","1999-02","UK","United Kingdom",25.000000000,""
"Pertussis","All cases","Reported cases","N","1999-03","AT","Austria",-,""
"Pertussis","All cases","Reported cases","N","1999-03","DK","Denmark",27.000000000,""
"Pertussis","All cases","Reported cases","N","1999-03","EL","Greece",1.000000000,""
"Pertussis","All cases","Reported cases","N","1999-03","ES","Spain",3.000000000,""
"Pertussis","All cases","Reported cases","N","1999-03","EU_EEA31","EU/EEA",688.000000000,""
"Pertussis","All cases","Reported cases","N","1999-03","FR","France",13.000000000,""
"Pertussis","All cases","Reported cases","N","1999-03","IE","Ireland",8.000000000,""
"Pertussis","All cases","Reported cases","N","1999-03","IS","Iceland",1.000000000,""
"Pertussis","All cases","Reported cases","N","1999-03","IT","Italy",405.000000000,""
